0,conv_proj.weight, 97,1,9,15 ,29
1,conv_proj.weight, 538,1,11,10 ,31
2,conv_proj.weight, 464,2,7,10 ,21
3,conv_proj.weight, 39,1,2,9 ,18
4,conv_proj.weight, 420,2,8,15 ,12
5,conv_proj.weight, 384,1,5,7 ,20
6,conv_proj.weight, 274,1,9,10 ,19
7,conv_proj.weight, 740,0,13,11 ,5
8,conv_proj.weight, 439,0,11,7 ,8
9,conv_proj.weight, 374,2,12,6 ,26
10,conv_proj.weight, 314,2,9,1 ,13
11,conv_proj.weight, 78,1,1,1 ,13
12,conv_proj.weight, 336,2,13,14 ,26
13,conv_proj.weight, 766,1,6,10 ,6
14,conv_proj.weight, 493,1,9,7 ,9
15,conv_proj.weight, 764,2,7,5 ,11
16,conv_proj.weight, 309,0,2,9 ,15
17,conv_proj.weight, 592,0,7,11 ,19
18,conv_proj.weight, 347,2,0,10 ,8
19,conv_proj.weight, 161,0,8,7 ,12
20,conv_proj.weight, 187,0,7,6 ,23
21,conv_proj.weight, 727,1,5,3 ,18
22,conv_proj.weight, 634,0,12,15 ,5
23,conv_proj.weight, 303,2,10,8 ,18
24,conv_proj.weight, 301,0,2,10 ,6
25,conv_proj.weight, 551,2,11,2 ,22
26,conv_proj.weight, 386,2,10,7 ,15
27,conv_proj.weight, 183,0,11,5 ,4
28,conv_proj.weight, 536,0,15,7 ,31
29,conv_proj.weight, 162,2,13,7 ,3
30,conv_proj.weight, 612,1,6,15 ,7
31,conv_proj.weight, 762,2,3,11 ,12
32,conv_proj.weight, 524,1,1,6 ,0
33,conv_proj.weight, 479,0,3,13 ,6
34,conv_proj.weight, 88,2,13,8 ,7
35,conv_proj.weight, 364,2,1,9 ,3
36,conv_proj.weight, 368,2,9,9 ,10
37,conv_proj.weight, 46,0,11,8 ,25
38,conv_proj.weight, 11,2,10,10 ,20
39,conv_proj.weight, 251,2,10,14 ,21
40,conv_proj.weight, 492,2,4,0 ,14
41,conv_proj.weight, 726,0,6,15 ,10
42,conv_proj.weight, 187,2,13,10 ,13
43,conv_proj.weight, 523,1,6,6 ,22
44,conv_proj.weight, 356,2,3,5 ,12
45,conv_proj.weight, 659,1,8,7 ,5
46,conv_proj.weight, 541,2,2,3 ,13
47,conv_proj.weight, 353,0,14,1 ,29
48,conv_proj.weight, 434,1,13,10 ,0
49,conv_proj.weight, 84,1,7,2 ,27
50,conv_proj.weight, 321,0,15,13 ,14
51,conv_proj.weight, 520,1,5,11 ,19
52,conv_proj.weight, 548,2,2,11 ,16
53,conv_proj.weight, 480,2,15,2 ,25
54,conv_proj.weight, 349,2,3,7 ,25
55,conv_proj.weight, 208,0,9,14 ,27
56,conv_proj.weight, 65,0,1,9 ,21
57,conv_proj.weight, 722,1,10,5 ,21
58,conv_proj.weight, 464,0,6,15 ,25
59,conv_proj.weight, 322,2,0,0 ,1
60,conv_proj.weight, 740,2,4,7 ,16
61,conv_proj.weight, 717,2,14,12 ,23
62,conv_proj.weight, 694,1,10,8 ,8
63,conv_proj.weight, 319,0,10,12 ,7
64,conv_proj.weight, 53,0,0,8 ,25
65,conv_proj.weight, 399,1,9,3 ,24
66,conv_proj.weight, 373,1,3,3 ,8
67,conv_proj.weight, 263,1,11,1 ,18
68,conv_proj.weight, 667,2,8,5 ,20
69,conv_proj.weight, 300,2,2,6 ,5
70,conv_proj.weight, 397,0,14,2 ,1
71,conv_proj.weight, 683,0,5,5 ,8
72,conv_proj.weight, 71,1,6,9 ,3
73,conv_proj.weight, 127,2,7,4 ,7
74,conv_proj.weight, 66,1,7,10 ,27
75,conv_proj.weight, 468,1,8,12 ,30
76,conv_proj.weight, 156,1,4,15 ,8
77,conv_proj.weight, 549,2,9,4 ,15
78,conv_proj.weight, 237,2,9,1 ,13
79,conv_proj.weight, 275,1,5,11 ,6
80,conv_proj.weight, 635,2,9,14 ,19
81,conv_proj.weight, 408,2,9,13 ,10
82,conv_proj.weight, 262,2,5,0 ,15
83,conv_proj.weight, 96,0,14,7 ,16
84,conv_proj.weight, 551,1,7,14 ,8
85,conv_proj.weight, 408,0,14,3 ,7
86,conv_proj.weight, 535,0,13,1 ,9
87,conv_proj.weight, 465,0,3,14 ,15
88,conv_proj.weight, 739,0,14,1 ,24
89,conv_proj.weight, 433,1,13,2 ,13
90,conv_proj.weight, 140,1,2,13 ,26
91,conv_proj.weight, 392,1,7,14 ,13
92,encoder.layers.encoder_layer_0.ln_1.weight,48,30
93,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 330,368 ,16
94,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 128,111 ,3
95,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 590,495 ,8
96,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 412,156 ,6
97,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 25,396 ,31
98,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 601,461 ,5
99,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 126,468 ,27
100,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 344,293 ,24
101,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 246,183 ,17
102,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 411,200 ,22
103,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 517,294 ,24
104,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 365,429 ,19
105,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 475,386 ,16
106,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 140,412 ,4
107,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 180,582 ,30
108,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 413,647 ,22
109,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 71,513 ,31
110,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 273,114 ,5
111,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 225,11 ,18
112,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 141,661 ,31
113,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 404,301 ,21
114,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 508,290 ,8
115,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 436,466 ,9
116,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 281,65 ,11
117,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 682,73 ,11
118,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 419,672 ,19
119,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 348,385 ,17
120,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 725,480 ,7
121,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 686,623 ,14
122,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 721,157 ,17
123,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 624,529 ,17
124,encoder.layers.encoder_layer_0.self_attention.out_proj.weight, 696,750 ,21
