0,conv_proj.weight, 589  0  0  6 ,8
1,conv_proj.weight, 126  1  10  9 ,20
2,conv_proj.weight, 727  2  7  9 ,26
3,conv_proj.weight, 401  1  2  10 ,8
4,conv_proj.weight, 297  1  10  2 ,17
5,conv_proj.weight, 604  1  0  1 ,30
6,conv_proj.weight, 300  0  2  9 ,18
7,conv_proj.weight, 564  0  9  10 ,3
8,conv_proj.weight, 541  2  4  1 ,4
9,conv_proj.weight, 616  0  12  6 ,3
10,conv_proj.weight, 174  0  14  10 ,16
11,conv_proj.weight, 313  2  5  10 ,19
12,conv_proj.weight, 546  0  13  5 ,17
13,conv_proj.weight, 643  0  13  12 ,18
14,conv_proj.weight, 431  2  6  12 ,15
15,conv_proj.weight, 422  2  2  7 ,21
16,conv_proj.weight, 44  2  14  8 ,14
17,conv_proj.weight, 461  2  13  6 ,9
18,conv_proj.weight, 329  1  11  11 ,18
19,conv_proj.weight, 712  2  2  5 ,9
20,conv_proj.weight, 675  2  9  12 ,4
21,conv_proj.weight, 255  0  11  9 ,15
22,conv_proj.weight, 403  2  12  14 ,8
23,conv_proj.weight, 271  2  10  15 ,23
24,conv_proj.weight, 620  0  14  11 ,19
25,conv_proj.weight, 668  0  7  8 ,25
26,conv_proj.weight, 428  1  3  7 ,8
27,conv_proj.weight, 379  1  0  14 ,16
28,conv_proj.weight, 583  0  7  6 ,7
29,conv_proj.weight, 132  1  15  7 ,15
30,conv_proj.weight, 566  0  14  15 ,1
31,conv_proj.weight, 688  1  2  10 ,29
32,conv_proj.weight, 96  0  8  1 ,5
33,conv_proj.weight, 262  2  1  9 ,15
34,conv_proj.weight, 316  0  10  14 ,14
35,conv_proj.weight, 284  2  12  6 ,19
36,conv_proj.weight, 451  2  10  1 ,21
37,conv_proj.weight, 20  1  8  8 ,7
38,conv_proj.weight, 115  0  7  3 ,27
39,conv_proj.weight, 144  0  7  5 ,3
40,conv_proj.weight, 332  0  1  13 ,16
41,conv_proj.weight, 544  0  8  0 ,14
42,conv_proj.weight, 481  1  0  4 ,20
43,conv_proj.weight, 74  0  8  9 ,19
44,conv_proj.weight, 352  0  12  4 ,22
45,conv_proj.weight, 757  1  15  9 ,4
46,conv_proj.weight, 59  2  7  11 ,26
47,conv_proj.weight, 764  1  1  7 ,1
48,conv_proj.weight, 419  1  0  3 ,6
49,conv_proj.weight, 18  0  1  8 ,6
50,conv_proj.weight, 576  0  11  12 ,21
51,conv_proj.weight, 49  0  13  15 ,30
52,conv_proj.weight, 335  0  13  3 ,9
